category	labels	no	body
fact	1		韓国軍合同参謀本部は19日、北朝鮮が18日夜から19日午後にかけて、南北軍事境界線の近くで、日本海と黄海に向けて砲撃を行ったと発表した。
fact	1		2018年の南北軍事合意で砲撃が禁じられた区域に着弾したが、韓国領海への着弾はなかった。
fact	1		これに対し、北朝鮮の朝鮮人民軍総参謀部の報道官は19日、砲撃の理由について、「敵（韓国軍）は軍事境界線一帯で、我々を刺激する軍事的挑発を再び行い、放射砲を発射した」などと述べ、韓国軍の砲撃に対する威嚇・警告措置だったと主張した。
fact	1		神奈川県弁護士会は１８日、刑務所で被収容者に閉居罰の受罰姿勢として正座やあぐらを強制することは、体罰と同様の苦痛を与えることで違法だとして、中止するよう横浜刑務所に勧告したと発表した。
fact	1		その日のうちに、渡辺容疑者を、被害男性に対する監禁の疑いで、緊急逮捕した。
fact	1		医療事故を巡っては、再発を防ぐための制度が２０１５年に創設された。
fact	1		現場で予期しない患者の死亡があった場合、厚生労働省所管の「医療事故調査・支援センター」に報告し、医療機関が自ら調査する仕組みだ。
fact	1		この１年間で制度が活用された件数は過去最少の２７７件となった。
fact	1		コロナ禍による受診控えの影響があるとはいえ、当初より１００件以上減っている。
fact	1		医療関係者からも「実態を反映していない」との指摘が出ている。
fact	1		ただ、調査が医師や看護師の責任追及につながりかねないとして医療界が反発したこともあり、報告するかどうかの判断は、医療機関側の裁量に任されている。
fact	1		大阪府内の病院で１９年、入院中の男性が頭を打ち、脳に障害を負って死亡したケースでは、遺族が原因究明を求めたにもかかわらず、病院は調査をしなかった。
fact	1		男子生徒は私服で、ホームに置かれたリュックには学校名が書かれた身分証が入っていた。
fact	1		２０２３年３月期の連結業績が１８５億円の最終赤字に転落する見通しになったと発表した。
fact	1		新型コロナウイルス感染拡大前の２０１９年同月と比べると９０．９％減で、依然として低水準だった。
fact	1		病院はその後、医療事故として報告した。
fact	1		患者の死から１年８か月がたっていた。
fact	1		「Prime Day」を開催しているが、こうして大型セールを年2回開催するのは今年が初めてだった。
fact	1		セール開催発表後1週間におけるツイッターでの言及回数は7月のイベントに比べ90％少なかったと報告した。
fact	1		５年に１度の中国共産党大会が開幕した。
fact	1		自転車の交通違反による事故が相次いでいることから、警視庁が今月下旬にも特に悪質で危険な違反に対して積極的な取り締まりに乗り出す方針を固めたことがわかりました。
fact	1		出場試合数は2試合に留まっており、いずれも後半アディショナルタイムからの出場だった。
fact	1		自らの出番の少なさについて言及している。
fact	1		セルティックは11月12日の第16節ロス・カウンティ戦後の次戦は12月17日の第17節アバディーン戦となっている。
fact	1		去年起きた交通事故のうち43.6%が自転車が関係していて、さらに死亡・重傷事故では78%余りで自転車側に交通違反があったということです。
fact	1		FWクリスティアーノ・ロナウドの危険性について言及した。
fact	1		だが、成長に伴う貧富の格差拡大や、極端な感染症対策による経済の伸び悩みは、明確に数字に表れている。
fact	1		今シーズンのプレミアリーグで無敗を継続していた”ライバル”を撃破し、CL第4節レンジャーズ戦（7－1○）に続く公式戦連勝を飾った。
fact	1		宇宙航空研究開発機構（ＪＡＸＡ）の固体燃料ロケット「イプシロン」６号機の打ち上げが失敗に終わった。
fact	1		そのフラナガンは19日、29歳の若さで現役を退く意向をSNSで表明した。
fact	1		警察は18日にバスのメーカーと車両を検証し、ブレーキの部品に焼け焦げた跡が見つかったことがわかりました。
fact	1		交通切符を交付されると、検察庁に送られて刑事罰の対象として扱われるうえ、3年以内に2回以上繰り返し取り締まりを受けたり、検挙されたりした場合は講習の受講が義務づけられています。
fact	1		太ももの骨を折るなど全治3カ月の重傷を負わせたとして、25歳の父親を逮捕しました。
fact	1		逮捕されたのは奈良県御所市のとび職・南畑優冶容疑者(25)です。
fact	1		児童相談所から警察への通報で事件が発覚したということです。
fact	1		富山市奥田本町のチューリップテレビ付近の用水路で大量の1万円札が見つかったのはことし7月19日でした。富山市奥田本町のチューリップテレビ付近の用水路で大量の1万円札が見つかったのはことし7月19日でした。
fact	1		警察も加わり用水路を200メートルにわたって調べると、その後も1万円札が次々と見つかりました。
fact	1		チューリップテレビの調べでは2日間であわせて85枚の1万円札が用水路から見つかりました。
fact	1		誰のものでどこから流れてきたのか、1万札を見つけたチューリップテレビの記者は、用水路の上流をさかのぼり調べましたが、手がかりは掴めませんでした。
fact	1		発見から3か月を経て1万円札を届け出た人に、警察から「拾得物件返還通知案内書」が届きました。
fact	1		友人たちがレカビ選手と連絡が取れず、代表チームは出発予定日2日前の17日にソウルの宿泊所をたったと伝えた。
fact	1		会長から携帯電話とパスポートを渡すことを条件にイランへの安全な渡航を約束されたと報じた。
fact	1		原作・脚本はドラマ『アンフェア』（フジ系）の原作者・秦建日子氏。監督は本仮屋主演のドラマ『片恋グルメ日記』（TOKYO MX）の平林克理氏である。
fact	1		本仮屋は姉の役だった。
fact	1		監督は8月末に脚本を書き直したのだが、新たな問題が発生した。
fact	1		本仮屋やスタッフで、Zoomによる打ち合わせが行われた
fact	1		真っ黒な日焼けのみならず、目の周りを白くメークし羽根飾りを付けるなどの奇抜なファッションで注目を集めた。
fact	1		今年6月に第2子妊娠を発表した。
fact	1		申し訳ございませんでした」と頭を下げた。
fact	1		このような事実に基づかない発言をテレビでしてしまったということ、それは私の慢心とおごりがあったからだと反省致しました。
fact	1		今後、このような形で仕事を続けて参りますが、ご支援のほどよろしくお願い致します」と言って再び頭を下げた。
fact	1		申し訳ございませんでした」と、深々と頭を下げた。
fact	1		その結果はこの『羽鳥慎一モーニングショー』でお伝えするという考えにいたりました」と番組出演は続ける考えを明かした。
fact	1		その上で「当然これ、電通が入ってますからね」と指摘した。
fact	1		番組責任者もけん責処分とした。
fact	1		ナムグン・フン共同最高経営責任者（ＣＥＯ）が辞任したことを明らかにした。
fact	1		通信障害はソウル近郊のデータセンターで１５日に火災が起きたことを受けて発生。
fact	1		タクシー運賃の支払いやレストランの予約などさまざまなサービスに支障が出ている。
fact	1		単一のアプリに国民の多くが依存する状況を疑問視する声も出ている。
fact	1		中小企業団体によると、今回の通信障害で５００社以上の中小企業が売り上げ落ち込みを訴えている。
fact	1		「ストレンジャー・シングス」などのヒット作が貢献し、予想の100万人増を大きく上回った。
fact	1		地域別では、アジアが特に好調だった。米ウォルト・ディズニーやアップルとの競争が激しい北米でもプラスだった。
fact	1		北朝鮮は14日にも、韓国軍が南北軍事境界線の近くで挑発的な砲撃訓練を実施したと主張して、日本海や黄海に向けて計560発以上の砲撃を実施した。
fact	1		北朝鮮は5月、新浦沖でSLBMとみられる短距離弾道ミサイルを発射。
fact	1		柔道の世界選手権最終日は13日、タシケントで混合団体が行われ、日本は決勝でフランスを4―2で下し、5連覇を達成した。
fact	1		静岡県小山町須走の県道で、大型観光バスが横転した事故では、乗客の枝川恵美子さん（74）が死亡しました。
fact	1		「利便性が高まる」。河野太郎デジタル相は１３日の記者会見で「マイナ保険証」への切り替えを発表し、そのメリットを強調した。
fact	1		米労働省が13日発表した9月の消費者物価指数（CPI）は前年同月より8.2％上昇した。
fact	1		変動が激しいエネルギーと食品を除いたコア指数は6.6％上がり、伸び率は1982年8月（7.1％）以来、40年1カ月ぶりの大きさとなった。
fact	1		9月の品目別では、ガソリンが18.2％、食品は11.2％上がった。
fact	1		警察などによりますと、この事故で普通乗用車の運転手が意識不明の重体となっていましたが、事故から約４時間後に死亡が確認されました。
fact	1		この影響で名神高速道路上り線の彦根インターチェンジから関ケ原インターチェンジの間が一時、通行止めとなりました。
fact	1		滋賀県米原市の名神高速道路上り線で１３日、路肩で作業中の重機に普通乗用車が突っ込み火災が発生した事故で、意識不明の重体となっていた車の運転手の死亡が確認されました。
fact	1		奈良市に本部のある市民生協「ならコープ」は１３日、商品の受発注や決済のシステムに障害が発生し、共同購入の注文や配達ができなくなったと発表した。
fact	1		しかし、約500人が予約にしたにもかかわらず、観覧席に入れないトラブルが起きていた。
fact	1		キーウ州のクレバ知事は１３日、州内の集落がイラン製ドローンの攻撃を受けたとテレグラムで発表。
fact	1		特殊詐欺グループがだまし取った「WebMoney」などの電子マネーを、売買仲介サイトで換金し、マネーロンダリングしていた疑いで、IP電話レンタル会社の実質的経営者の男ら4人が、警視庁に逮捕された。
fact	1		広島地検呉支部はこの男性について、今月１１日付けで不起訴処分としました。
fact	1		頭髪を隠すスカーフの着用が不適切として拘束された女性が死亡した問題に端を発したイランの抗議デモは、弾圧が激化する中で１２日も続いた。
fact	1		ロイターはこれらの動画の信憑性を独自に確認できていない。
fact	1		ノルウェーに拠点を置く人権団体イラン・ヒューマン・ライツ（ＩＨＲ）は、今回の抗議運動による民間人死者は少なくとも２０１人に達しており、このうち２３人が未成年者とした。
fact	1		13日の東京株式市場の日経平均株価（225種）は4営業日続落した。
fact	1		生徒側は兵庫県警に被害届を提出した。
fact	1		島のラパヌイ国立公園はユネスコの世界遺産に登録されている。
fact	1		同校は男性教諭の懲戒解雇とともに、運動部顧問は日本スポーツ協会公認スポーツ指導者資格を取得するなどの再発防止策を公表した。
fact	1		チームは2014年以来となるポストシーズン進出を果たせなかった。
fact	1		これはアストロズ相手に奪った三振数としては最多。
fact	1		ギルバートはレギュラーシーズンでアストロズ相手に22奪三振。
fact	1		両社による第１弾のＥＶを、２０２５年前半から受注を始めると発表した。
fact	1		２６年春に北米で、２６年後半に日本での納車を目指す。
fact	1		通園バスに女児が置き去りにされ、熱中症で死亡した静岡県牧之原市の認定こども園「川崎幼稚園」に対し、県が認定こども園法に基づき改善勧告を出す方針を固めたことが13日、関係者への取材で分かった。
fact	1		9月9日から実施している特別監査の結果、バスの運行体制や園児の出欠確認方法に不備があったと判断した。
fact	1		岸田文雄首相は１２日、首相官邸で電力業界のトップと会談し、支援策の仕組みづくりへの協力を要請。
fact	1		電気料金は今年５月までの１年間で家庭用は約２割、企業用は約３割上昇。
fact	1		米連邦準備制度理事会（ＦＲＢ）は１２日、９月２０、２１日に行われた連邦公開市場委員会（ＦＯＭＣ）の議事要旨を公表した。
fact	1		日本銀行が１３日発表した９月の国内企業物価指数（２０２０年平均＝１００、速報値）は１１６・３で、前年同月比９・７％上昇した。
fact	1		読売新聞社は、１５日からの新聞週間に合わせ、新聞やインターネットなどメディア全般に関する全国世論調査（郵送方式）を実施した。
fact	1		ニュースを知るために主に利用するメディア（複数回答）で、新聞を選んだ人は５０％だった。
fact	1		最も多かったのは「民放テレビ」の６３％で、次いで「ＮＨＫテレビ」「ニュースを集めたポータルサイトやニュースアプリ（ヤフーニュースなど）」の各５１％だった。
fact	1		立川〜西立川駅間で発生した人身事故の影響で、青梅線は立川〜青梅駅間の下り線(青梅方面行)の運転を見合わせていましたが、07:30現在、運転を再開しています。
fact	1		IAEA=国際原子力機関のグロッシ事務局長は12日、ウクライナ南部のザポリージャ原発が外部電源を一時、失ったと明らかにしました。
fact	1		パリ市は今回、公園や広場にパブリックビューイングのために巨大スクリーンと音響設備、さらに仮設の観客席を設置しないことを明らかにした。
fact	1		これまではパリ4区にあるセーヌ川に面したパリ市庁舎前の広場やエッフェル塔の横にあるシャン・ド・マルス公園に設置されていた。
fact	1		フランス第2の都市リヨンも10月5日朝、パブリックビューイング会場の設置を市として行わないことを発表。
fact	1		またマルセイユ、ボルドー、ストラスブール、ランスなどもパブリックビューイングの会場設置を見送ることを決めた。
fact	1		朝鮮中央通信は１３日、北朝鮮が１２日に「長距離戦略巡航ミサイル」２発の試験発射を行ったと報じた。
fact	1		循環取引の手口で、商社から2億円以上をだまし取った疑いで、元社員が逮捕された。
fact	1		日米欧の先進７カ国（Ｇ７）は１２日、財務相・中央銀行総裁会議を米ワシントンで開いた。
fact	1		米財務省が公表した同会議の声明は、ロシアによるウクライナ侵攻などを受け、多くの国の通貨が著しく変動していることへの懸念を表明。
fact	1		「世界平和統一家庭連合」いわゆる“統一教会”をめぐり、元2世信者の記者会見を行っている最中に、教団側が「精神に異常をきたしている」など中止を求める文書を送っていました。
fact	1		日本自動車連盟（ＪＡＦ）と警察庁は１４日、チャイルドシートの使用状況の調査結果を発表した。
fact	1		米政権がロシア製アルミニウム輸入の制限を検討していることが１２日、関係筋の話で分かった。
fact	1		ウクライナ各地では１０━１１日、ロシアのミサイル攻撃を受け、民間人の死傷者が出たほか、電力や水、暖房などのインフラが一部破壊された。
fact	1		ホワイトハウス高官はブルームバーグの報道について「われわれは常にあらゆる選択肢を検討している。現時点でアルミ禁輸に関する動きはない」とコメントした。
fact	1		報道を受け、ロンドン金属取引所（ＬＭＥ）ではアルミ価格が一時７．３％高の１トン２４００ドルまで急騰した。
fact	1		日本放送協会(NHK)は11日、テレビを設置しながら期限までに受信契約の申し込みをしなかった場合などに徴収できる割増金制度を記した規約素案を公表した。
fact	1		素案では、受信契約申込み期限を“受信機設置月の翌々月末日まで”、割増金の倍数を“2倍”と設定し、2023年4月からの運用目標が示された。
fact	1		受信機の設置の翌々月の末日までに、正当な理由なく受信契約をしない場合は、所定の受信料の2倍に相当する額の割増金を請求できると定めた。
fact	1		翌々月末日という設定について、素案では「2〜3か月の申込期間があれば視聴者からNHKに対し十分に受信契約を申込みいただくことができ、NHKからも申込みを促す等の必要な案内が可能」と記載。
fact	1		今回のこの申込み期限は、すでに「地上契約」を結んでいて、新たに衛星放送の受信設備を設置した場合も同様に適用する、としている。
fact	1		なお、今回の変更規約の施行“以前”の受信機設置者の割増金の取扱いについても記載。
fact	1		契約申込み期限は「変更後の受信規約施行日の翌々月末日まで」、割増金請求期間は「変更後の受信規約施行後の期間分」とした。
fact	1		なお、法改正時の付帯決議(抜粋)においても、「協会は、受信契約の締結に応じない者を対象とする割増金制度について、まず受信契約についての理解を得るため最大限努力し、真にやむを得ない場合にのみ割増金の徴収を行なうこと」と記されている。
fact	1		立憲民主党と日本維新の会は12日、いわゆる統一教会の被害者らを対象とした「救済法案」の内容で大筋合意し、今月17日にも、共同で国会に提出することになりました。
fact	1		14日午後8時45分ごろ、三重県桑名市の伊勢湾岸自動車道上り線で、複数の車両が絡む事故があったと110番があった。
fact	1		合わせて「アウディ R8」をベース車に製作したラッピングカーも展示される。
fact	1		10月初旬にマイナス0.5等前後だった明るさは、下旬にはマイナス1.2等になり、ひときわ目をひく赤い輝きを放っています。
fact	1		これが外惑星の「逆行」です。
fact	1		英国のトラス首相は14日、クワーテング財務相を解任した。
fact	1		後任の財務相には日本通のハント元外相が任命された。
fact	1		トラス氏は14日に記者会見し、大型減税策のうち、法人税率引き上げの凍結方針を取りやめると発表した。
fact	1		神戸空港は、１４日午後８時過ぎから全ての空港の滑走路を、一時閉鎖しました。
fact	1		神戸空港は、午後９時１０分に全面再開しています。
fact	1		北海道での女子大生遺体遺棄事件で、逮捕された男が「自殺願望のある人たちと、SNSでやりとりしていた」と、供述していることがわかった。
fact	1		無職の小野勇容疑者(53)は、札幌市で、女子大生の瀬川結菜さん(22)の遺体を遺棄した疑いで逮捕された。
fact	1		海上保安庁は14日、高橋さんは人命救助の最中に事故に巻き込まれたと発表した。
fact	1		その2日後、沖縄県名護市の沖合300メートルほど離れたところで、浮いている高橋さんを発見。同日死亡が確認された。
fact	1		同本部はこれらの情報を基に調査。
fact	1		米軍の準機関紙『Stars and Stripes』が、同県の人気ダイビングスポットで離岸流により溺れていた3人を救出した米陸軍将校の記事を掲載。
fact	1		高橋さんは1986年に連載デビューし、代表作となった『遊☆戯☆王』は『週刊少年ジャンプ』で1996年9月から2004年3月まで連載。
fact	1		熱帯から温帯に分布し、国際自然保護連合（ＩＵＣＮ）の絶滅危惧Ⅱ類に分類されているオサガメの死骸が北海道根室市郊外の河口に漂着した。
fact	1		打ち上げられたのは１０月９日。漬物石を取りに来た市内の男性が見つけた。
fact	1		イスラム教を国教とするイランでは、女性にヘジャブと呼ぶスカーフで頭髪を覆うことを義務付けている。
fact	1		米国のトランプ前政権が2018年にイラン核合意から離脱し、対イラン制裁を復活させた。
fact	1		国際社会も反発を強めている。
fact	1		イスラム教を国教とするイランでは、女性にヘジャブと呼ぶスカーフで頭髪を覆うことを義務付けている。
fact	1		暴行を疑う市民らの抗議デモが広がり、治安部隊との衝突で死者も増えている。
fact	1		イランで頭髪を覆うスカーフの着用をめぐって当局に拘束された女性が急死した。
fact	1		人口減少は既に始まっている。
fact	1		習氏は今回、新たな発展モデルとして「中国式現代化」を打ち出した。
fact	1		新築住宅の販売面積は前年に比べ2～4割も減る異常事態が続いた。
fact	1		日立製作所はAIをつかってインフルエンザの流行を予想する「感染症予報」を始めた。
fact	1		そこで風量などから送電線ネットワークの時々刻々の温度変化を推計し、流せる電流の上限値を正確に把握できるようにした。
fact	1		送電線は温度によって流せる電流の大きさが規定される。
fact	1		例えば富士通は中国電力と共同で進める送電線の温度データを収集する技術を披露した。
fact	1		3年ぶりのリアル開催となる日本最大級のIT見本市「シーテック2022」が千葉市で始まり、ヘルスケアや環境、生産性の向上に役立つ技術や解決手法が提示された。
fact	1		使用率は７４・５％（前回比４・０ポイント増）で過去最高となり、京都は７３・３％（同１０・２ポイント増）、滋賀は７６・０％（同１６・０ポイント増）だった。
fact	1		第２次安倍政権下での教団の名称変更の経緯も未解明だ。
fact	1		調査は、道交法でチャイルドシートの使用が義務付けられている６歳未満の子どもを対象に、４〜６月に全国で実施した。
fact	1		世界平和統一家庭連合（旧統一教会）への「調査」を実施するよう担当大臣に指示した。
fact	1		宗教法人法に基づく「報告徴収・質問権」の初の行使に踏み出し、被害者救済法案の今国会提出も表明した。
fact	1		審議会でも、慎重派委員から「国民各層とのコミュニケーション、結果ありきでないオープンな議論が必要」との意見が出た。
fact	1		原発に懐疑的な視点から意見を述べる人はごく一部しかいない。
fact	1		委員の多くは、原子力研究者や電力業界と関わりが深い有識者、経済人だ。
fact	1		審議会の議題と人選は経産省が決めている。
fact	1		ところが、岸田首相は８月、再稼働の加速、運転期間の延長、新型炉建設の検討を指示した。
fact	1		政府はこれまで、１１年前の福島第一原発事故の教訓を踏まえて、原発は「可能な限り依存度を低減する」としてきた。
fact	1		国家が開発を主導していた時代と比べ、開発のスピードも速い。
fact	1		宇宙開発は民間の参入で低コスト化が進んでいる。
fact	1		２号機以降は、運用がＪＡＸＡから民間のＩＨＩエアロスペース社に移管される。
fact	1		２３年度には、イプシロンの後継機「イプシロンＳ」初号機の打ち上げが予定されている。
fact	1		Ｈ２Ａの後継となる「Ｈ３」も開発が遅れている。
fact	1		日本の基幹ロケットの打ち上げ失敗は、２００３年のＨ２Ａ６号機以来だ。
fact	1		世界で人工衛星の打ち上げ市場を席巻している米新興企業スペースＸも、度重なる打ち上げ失敗を乗り越えて現在に至っている。
fact	1		ただ、歴史的に見ても、宇宙開発に失敗はつきものだ。
fact	1		近年、多数の小型衛星を打ち上げ、通信や地上観測に使う需要が増している。
fact	1		イプシロンは今回、初めて商業衛星の打ち上げを受注した。
fact	1		鹿児島県から打ち上げられた６号機は、打ち上げの数分後、２段目と３段目の切り離し前に予定のコースを外れたため、地上からの指令で破壊された。
fact	1		搭載していた新興企業や大学の小型人工衛星８基も失われた。
fact	1		使用率は過半数を下回っていた２０００年代前半から上昇傾向にあり、今回はコロナ禍前の２０１９年の前回調査から４・０ポイント増えて７４・５％になった。
fact	1		全国８地域を対象にチャイルドシートの取り付け状況や着座状況も調査。
fact	1		ＪＡＦ京都支部や滋賀支部などは、チャイルドシートの使い方を学ぶ講習会を定期的に開いている。
fact	1		北朝鮮当局の下部組織とされるハッカー集団「ラザルス」が日本国内の暗号資産（仮想通貨）交換業者にサイバー攻撃をしているとして、取引に関わる個人や交換業者に注意喚起した。
fact	1		国内業者の被害が確認され、警察庁サイバー警察局などが調査した結果、ラザルスの関与が判明した。
fact	1		4月にサイバー警察局が発足後、実施は初めて。
fact	1		14年ぶりに亀山薫(寺脇康文)が復帰したドラマ『相棒21』(テレビ朝日)が、10月12日にスタートしました。
fact	1		13日夕方、沖縄県竹富町の小浜島沖で、マリンスポーツのSUP(スタンドアップパドルボード)に乗っていた女性が沖に流され、およそ14時間後、40キロほど離れた海上で救助されました。
fact	1		石垣海上保安部によりますと、13日午後6時頃、小浜島の海岸付近で、「SUP」に乗っていた大阪府の27歳の夫婦と、ツアーガイドの19歳の男性が強風で沖に流されました。
fact	1		14時間近くたった14日午前7時40分ごろ、小浜島からおよそ40キロ離れた海上で、SUPに乗って漂流していた女性を発見し、ヘリコプターでつり上げて救助しました。
